ID,FREQ,TRK,DIST,CoordsX,CoordsY,Name/Remarks
UUEE, None, 0, 0, N55°58'21.00", E037°24'47.00", MOSCOW/SHEREMETYEVO
EMGAS, None, 181, 92, N54°27'28.00", E037°50'19.00", EMGAS
EKTUT, None, 161, 49, N53°44'41.00", E038°29'46.00", EKTUT
OSPER, None, 150, 24, N53°26'20.99", E038°55'06.00", OSPER
NIBOK, None, 167, 65, N52°26'41.00", E039°35'57.00", NIBOK
DISKI, None, 163, 29, N52°00'27.00", E039°57'22.00", DISKI
TEDMO, None, 163, 11, N51°50'49.00", E040°05'09.99", TEDMO
PETUK, None, 163, 9, N51°43'06.00", E040°11'22.00", PETUK
OTVUT, None, 156, 11, N51°34'07.99", E040°20'36.99", OTVUT
RITUN, None, 156, 7, N51°28'16.00", E040°26'37.99", RITUN
OLBEG, None, 157, 11, N51°19'01.00", E040°36'03.00", OLBEG
RUTUB, None, 142, 21, N51°04'31.00", E041°00'35.00", RUTUB
GEDNI, None, 143, 35, N50°40'17.00", E041°40'42.00", GEDNI
AMUTI, None, 143, 27, N50°21'24.00", E042°11'17.99", AMUTI
ST, 777, 147, 88, N49°15'32.00", E043°40'45.99", SIROTINSKAYA
WGD, 115.3, 146, 39, N48°46'50.69", E044°20'36.59", VOLGOGRAD/GUMRAK
IDORI, None, 129, 16, N48°38'43.00", E044°41'18.99", IDORI
SL, 644, 129, 28, N48°24'07.99", E045°17'45.00", SOLODNIKI
NOKLI, None, 206, 24, N48°01'29.99", E045°06'48.00", NOKLI
DUBOS, None, 162, 53, N47°14'03.00", E045°41'55.99", DUBOS
OLINU, None, 162, 76, N46°05'57.99", E046°30'35.99", OLINU
BALEL, None, 162, 10, N45°57'11.00", E046°36'43.99", BALEL
BODNA, None, 162, 17, N45°41'41.00", E046°47'29.99", BODNA
BEGNU, None, 162, 12, N45°30'51.99", E046°54'56.99", BEGNU
GORNU, None, 162, 31, N45°02'58.99", E047°13'57.99", GORNU
DETIR, None, 180, 32, N44°31'23.00", E047°20'06.99", DETIR
AMKOL, None, 180, 55, N43°37'05.99", E047°30'00.00", AMKOL
URML, None, 179, 49, N42°49'01.00", E047°39'09.00", MAKHACHKALA/UYTASH
